CandidateID,Name,Age,Skills,Interests,Extracurriculars,Bodily Activeness,Logical Reasoning,STEM Avg_score,Humanities Avg_score,Languages Avg_score,Intrapersonal Score,Interpersonal Score,Grade_3 Score,Grade_6 Score,Grade_9 Score,KCSE Score,Recommended_Career,Recommended Course
ID0001,John Doe,19,"Programming, Teamwork, Critical Thinking","Technology, Engineering","Football, Drama Club",75,75,81,67,64,82,76,82,94,73,81,Software Developer,BSc in Software Engineering
ID0002,Jane Smith,17,"Leadership, Communication, Data Analysis","Business, Management","Student Council, Debate Club",65,64,71,71,70,66,92,94,75,70,72,Business Manager,BBA in Business Administration
ID0003,Albert Einstein,19,"Physics, Problem Solving, Research","Science, Technology","Science Club, Robotics",78,90,82,70,67,94,61,88,70,62,61,Scientist,BSc in BioChemistry
ID0004,Marie Curie,17,"Chemistry, Problem Solving, Innovation","Science, Innovation","Physics Club, Volunteering",64,85,78,61,72,65,59,87,71,60,61,Chemist,BSc in Chemistry
ID0005,Isaac Newton,19,"Mathematics, Logical Reasoning, Research","Mathematics, Physics","Math Club, Chess",71,81,82,69,63,84,52,86,72,52,73,Mathematician,BSc in Maths and Computing Science
ID0006,Ada Lovelace,18,"Programming, Algorithms, Problem Solving","Technology, Research","Coding Club, Hackathons",55,95,82,63,63,87,81,88,76,73,75,Computer Scientist,BSc in Computer Science
ID0007,Charles Darwin,17,"Biology, Research, Critical Thinking","Biology, Evolution","Biology Club, Volunteering",87,80,80,71,61,75,77,97,60,54,61,Biologist,BSc in Microbiology
ID0008,Nikola Tesla,18,"Innovation, Problem Solving, Engineering","Engineering, Innovation","Robotics Club, Engineering Club",93,84,82,70,64,91,52,98,90,80,80,Engineer,BEng in Engineering
ID0009,Galileo Galilei,17,"Physics, Problem Solving, Mathematics","Physics, Technology","Astronomy Club, Volunteering",67,92,82,72,74,81,76,82,65,64,71,Physicist,BSc in Physics
ID0010,Claude Shannon,17,"Cryptography, Logic, Problem Solving","Cryptography, Mathematics","Cryptography Club, Research",63,84,82,73,63,90,76,85,61,71,75,Cryptographer,BSc in Applied Computer Science
ID0011,Alan Turing,17,"Mathematics, Logic, Theoretical Computing","Technology, Computing","Computer Science Club, Volunteering",52,76,81,67,62,77,50,93,72,69,79,Computer Scientist,BSc in Computer Science
ID0012,Sally Ride,17,"STEM, Communication, Problem Solving","Space Science, Physics","Astronomy Club, Volunteering",54,84,83,67,60,82,60,93,71,54,68,Astronomer,BSc in Astronomy
ID0013,Richard Feynman,18,"Astronomy, Physics, Research","Technology, Innovation","Engineering Club, Science Club",81,77,84,70,64,78,69,82,85,76,82,Civil Engineer,BEng in Civil and structural Engineering
ID0014,Hedy Lamarr,18,"Engineering, Invention, Innovation","Creativity, Art","Arts Club, Photography",69,73,74,83,65,50,89,85,74,60,56,Artist,BA in Fine Arts
ID0015,Maya Angelou,19,"Poetry, Leadership, Communication","Social Justice, Advocacy","Debate Club, Volunteering",65,64,68,78,70,80,87,85,74,54,53,Public Speaker,BA in Political Science
ID0016,Martin Luther King Jr.,19,"Public Speaking, Leadership, Advocacy","Leadership, Human Rights","Marching Band, Public Speaking",52,69,60,79,63,81,92,84,71,58,58,Human Rights Advocate,LLB in Law
ID0017,Leonardo da Vinci,18,"Art, Design, Architecture, Creativity","Art, Architecture","Art Club, Volunteering",72,60,69,69,63,95,61,92,66,53,62,Architect,BArch in Architecture
ID0018,Rosalind Franklin,17,"Mathematics, Logic, Critical Thinking","Mathematics, Computing","Mathematics Club, Science Club",71,86,78,68,63,86,54,88,65,73,80,Data Analyst,BSc in Data Science
ID0019,Stephen Hawking,17,"Health, Medicine, Critical Thinking","Medicine, Health","Health Awareness, Volunteering",91,87,77,63,65,78,55,93,86,83,83,Medical Professional,MBBS in Medicine
ID0020,Bill Gates,19,"Computer Science, Problem Solving, Innovation","Technology, Engineering","Tech Club, Volunteering",82,82,75,72,64,82,55,93,88,78,82,Tech Innovator,BSc in Software Engineering
ID0021,Student 21,19,"Programming, Teamwork, Critical Thinking","Technology, Engineering","Football, Drama Club",72,87,79,73,71,84,64,94,68,65,64,Scientist,BSc in Physics
ID0022,Student 22,17,"Leadership, Communication, Data Analysis","Business, Management","Student Council, Debate Club",71,85,80,70,70,85,73,83,75,69,75,Software Developer,BSc in Applied Computer Science
ID0023,Student 23,19,"Physics, Problem Solving, Research","Science, Technology","Science Club, Robotics",72,85,83,73,63,95,75,92,76,73,75,Engineer,BSc in Computer Science
ID0024,Student 24,18,"Chemistry, Problem Solving, Innovation","Science, Innovation","Physics Club, Volunteering",71,92,78,71,66,87,53,94,68,55,70,Physicist,BSc in Applied Physics
ID0025,Student 25,18,"Mathematics, Logical Reasoning, Research","Technology, Engineering","Math Club, Chess",75,83,77,63,62,92,55,85,63,64,64,Business Intelligence Analyst,BSc in Maths and Statistics
